Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
fakeksjdjdududjdjjsjsudjdjdjfudjdjdususjsjsjsudjfjfugjfjfuudjdjdfakeeeeeeekgkgkgkgkkgkgkgkg,3,1,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,1,LOW
maganda with keratin serum yung pinadala amoy dove naman sya then malambot sa buhok,5,14,POSITIVE,CONSISTENT,MODERATE,HIGH,MODERATE,0,0,MODERATE
Long lasting fragrance Improves hair texture Leaves hair soft and smooth Deeply nourishes hair Improves hair texture,5,17,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
OK naman po syang gamitin,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Leaves hair soft and smooth Leaves hair manageable,5,8,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
mabango malabot sa buhok thank you seller at sa rider,5,10,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Effectiveness Repairs damaged hair Gives hair a healthy bounce,5,9,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Long lasting fragrance Prevents split ends Repairs damaged hair Deeply nourishes hair,5,12,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Gentle on the scalp Repairs damaged hair Adds volume to hair store much recommended defenitely will order again,5,18,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Fragrance Long lasting fragrance,5,4,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
Leaves hair manageable Provides hydration to hair Leaves hair shiny Gentle on the scalp,5,14,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Leaves hair soft and smooth,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,1,0,LOW
Gentle on the scalp Deeply nourishes hair Deeply nourishes hair Deeply nourishes hair,5,13,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
ok lng,5,2,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
grabe kayo peke nman tung produck nyo budol budol kakahiya kayo,5,11,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
thank you po,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ok,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
not yet use,5,3,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
okay naman po siya,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
oke nmn mbango nmn po,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
bakit Po ganyan Ang Amoy ng shampoo nde Amoy dove pati Ang lotion Ang body wash ok sya Amoy dove talaga diko lng ma return at nasunog ko Ang balot plastic ng Lazada,4,33,MIXED,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
ok na ok malaki at Ang bango liget siya,5,9,POSITIVE,CONSISTENT,MODERATE,LOW,MODERATE,0,0,MODERATE
Effectiveness ok nmn mango sya,5,5,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
Okey namn,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ok namn siya,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
goo,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Quality Texture Effectiveness,5,3,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
mabilis po dumating order thanks po,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Ganda sa buhok,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
FAKE GUYS WAG KAYONG OORDER SAYANG PERA punyets Hindi na nga mabango Maalagkit pa,5,14,NEGATIVE,INCONSISTENT,MODERATE,LOW,MODERATE,0,0,LOW
Sorry pomahirap suklayin ng aking buhok hindi siya soft malaki sana but I m so disappointed Sayang ang aking pera kahit sa ganon amount lng siya,1,26,NEGATIVE,CONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
maganda sya at mabago thanks,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
disappointed ang baho n ang tigas pa sa buhok,5,9,NEGATIVE,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
Quality poor quality well as i was expecting,3,8,NEGATIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
maganda mabango,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Quality affordable fast deliver,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Suitable for all hair types,3,5,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
Okay naman yung products yun nga lang hindi maayos ang pagka wrap next time po paki ayos ang packaging Salamat,4,20,MIXED,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
peke taragis na yan,1,4,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
bakit nagtitinda kayu nang fake na dove,1,7,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
fake wag na kayo bumili dyan niloloko nyo lang sarili nyo,1,11,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
fake sayang pera,1,3,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
HOPE THIS STORE WILL CLOSE SOON WITH THE KIND OF SERVICE THEY HAVE SO DISGUSTING,1,15,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Peke ung shampoo nla pti conditioner,1,6,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
